driverId,week,hours-logged,miles-logged
69,13,73,1400
64,45,64,2200
45,16,61,3400
65,15,62,1600
73,27,54,4000
96,15,75,3300
103,46,56,200
34,19,63,1200
104,2,50,400
52,8,73,1400
25,11,73,1200
71,24,51,1100
58,21,58,1000
38,31,64,600
14,47,64,200
25,39,72,0
44,6,57,1900
98,37,68,2900
88,10,53,900
60,46,65,3500
102,36,57,100
48,25,80,3800
52,17,50,3700
79,50,73,2000
52,14,63,1700
56,20,71,800
53,14,69,100
105,30,60,2500
62,46,57,3700
96,14,55,3000
78,46,70,2500
54,22,71,2500
10,18,75,1300
13,52,79,1800
97,17,61,3600
42,8,52,2500
41,47,67,2900
19,25,53,2500
36,9,61,1400
51,52,78,3800
38,1,55,3200
61,43,51,0
88,18,66,800
29,42,79,2300
24,10,56,1200
60,10,78,3500
89,34,66,3000
67,7,63,1300
36,25,68,3700
19,38,72,2000
29,40,72,400
24,25,53,2300
89,33,58,2800
52,47,58,600
68,24,80,3100
108,2,68,3100
27,16,70,3000
74,13,67,700
53,10,52,3600
14,5,54,3300
49,13,59,3300
58,35,72,1400
77,7,64,3700
22,11,54,700
49,30,61,400
46,9,80,1500
85,38,60,1900
42,46,55,900
106,8,51,3700
73,36,64,3900
89,6,51,1500
34,48,58,1900
29,40,76,1300
63,13,73,1900
26,31,67,2400
109,25,78,300
14,4,61,3800
81,26,62,4000
97,2,52,800
90,35,72,0
80,5,80,2300
108,40,70,3400
15,34,73,3900
90,8,55,600
89,5,59,2600
80,30,61,2900
97,28,57,1200
70,36,80,3900
42,46,60,2000
31,8,75,1500
75,27,68,1000
10,11,60,3100
57,19,64,1700
11,38,68,4000
32,1,62,3800
72,5,53,1300
67,51,75,2100
56,27,56,900
66,39,76,1200
46,19,68,900
17,30,62,2000
108,8,77,3600
64,6,59,2500
51,28,74,500
66,37,76,2800
35,45,60,2400
86,41,59,2900
63,28,60,1200
26,13,65,3800
31,2,67,300
60,5,57,600
38,22,73,3300
68,50,62,3500
65,6,55,1700
68,27,66,600
104,4,70,1000
53,40,56,3100
17,22,75,2700
34,47,60,3800
28,15,63,3300
16,25,64,3200
20,43,53,900
81,4,75,200
32,50,78,300
102,37,59,3900
57,37,79,700
51,13,63,500
35,8,55,800
30,6,66,3900
82,10,77,800
12,46,67,3500
55,1,68,2800
75,49,76,1000
99,30,63,100
87,38,64,800
58,39,56,3300
14,7,67,2800
75,25,78,1800
100,38,66,1800
22,23,62,3700
74,15,73,1000
91,24,55,700
104,48,55,3900
22,47,62,2500
88,45,54,400
106,24,65,900
38,11,73,1600
49,16,69,500
75,2,78,100
39,6,64,2700
69,52,67,3100
32,27,62,3600
59,21,68,700
19,4,73,2200
27,22,72,900
47,47,71,2800
32,13,66,1400
10,44,66,100
60,10,70,3900
88,32,69,600
23,41,72,3100
108,38,53,3200
92,20,61,800
90,35,70,3100
63,43,72,0
91,14,61,4000
90,12,63,3000
82,27,54,3400
102,46,52,100
87,13,54,3400
34,35,71,2300
53,12,51,600
25,39,54,3000
80,19,80,3800
66,31,54,2600
109,38,51,1000
49,13,63,3800
70,52,61,1000
83,43,54,500
65,9,57,3800
42,3,75,2900
25,18,74,1800
89,52,79,4000
61,46,78,3100
94,38,54,600
28,52,56,1300
88,3,55,3500
47,38,75,2000
73,43,62,3300
85,2,54,300
34,9,60,2700
57,11,77,1400
85,29,77,1000
98,3,65,700
68,19,74,3600
78,35,62,1300
98,42,77,2200
91,19,69,1000
74,8,58,3700
88,51,74,2900
49,2,73,2000
55,14,75,2200
108,42,77,3300
83,19,76,0
71,26,64,1200
74,33,61,2200
74,25,65,1300
18,24,79,2400
15,47,51,3200
18,12,61,3800
42,11,63,1100
26,49,71,800
52,52,65,2500
17,23,65,2900
15,50,70,1700
59,42,71,0
12,6,60,3500
108,6,69,1800
30,39,56,1000
19,30,74,2200
93,18,67,3900
55,14,72,3500
31,47,53,3700
56,38,67,3200
27,14,54,300
109,52,64,3300
61,35,61,2700
108,35,77,3100
62,47,53,1900
57,11,61,2700
35,5,57,3400
36,24,67,1700
83,31,76,600
44,32,51,2600
53,26,74,3000
33,3,52,3300
52,11,53,500
47,21,66,1000
103,46,74,3800
43,31,73,1200
93,48,57,3500
88,22,71,1000
95,24,55,2000
50,31,51,3200
13,43,60,1700
78,12,77,2700
83,11,70,3300
67,26,59,3900
68,6,66,1900
48,10,62,2100
98,30,51,1000
24,45,50,3300
20,28,76,3700
76,51,73,200
49,2,68,2700
91,5,58,2600
52,20,58,3700
16,13,75,2200
69,51,54,2400
24,9,58,2600
51,38,80,500
87,44,75,4000
77,24,66,3800
27,47,75,2700
57,14,59,3900
45,43,62,2300
10,13,52,1100
38,30,57,3400
108,26,60,3300
93,19,61,0
28,3,80,200
36,12,71,700
31,31,73,1000
39,24,66,2400
56,1,50,1400
99,45,53,3500
50,23,52,2500
49,14,71,1700
20,14,50,2900
40,36,65,2900
49,51,75,2100
48,8,79,2500
37,16,54,600
43,13,61,3800
98,49,75,3800
82,23,61,2900
75,40,79,3200
78,35,77,3100
44,51,56,600
38,16,50,3100
38,25,58,2200
11,52,70,3000
103,3,63,4000
35,13,50,1000
25,21,59,3300
71,31,76,2700
68,50,66,2300
14,7,74,1900
34,36,52,3200
12,4,60,1600
46,32,70,300
35,5,61,3000
14,46,66,2700
83,28,59,1900
33,5,61,3300
26,25,68,2700
39,13,56,200
13,49,68,600
46,47,79,3300
67,11,56,3000
66,24,53,1700
48,36,64,2800
94,50,80,2900
45,49,71,200
19,6,73,800
108,18,61,2700
31,17,68,3000
83,39,62,1900
15,15,73,700
68,1,52,1400
58,42,65,2600
77,7,50,900
99,15,66,1800
38,42,54,700
106,7,53,1500
49,15,61,3600
22,5,50,0
66,37,74,500
39,41,60,3800
93,25,66,900
45,48,50,2400
82,45,56,1600
29,16,63,3100
14,16,54,1100
17,40,50,3600
83,5,69,3400
85,28,61,3200
90,51,55,2800
46,24,68,2800
103,30,78,3900
39,12,53,2500
97,2,55,1600
71,8,74,3900
18,37,50,3700
20,47,74,2400
46,6,70,1000
18,37,53,1200
24,16,70,2500
45,26,54,2700
14,8,80,600
36,46,70,700
60,3,55,3900
76,15,71,800
105,38,62,3600
91,11,58,2300
109,11,72,500
98,34,62,1000
28,50,78,3500
51,18,52,1700
96,26,77,3500
42,34,50,1300
48,5,57,400
54,19,77,2100
27,7,61,2100
71,23,61,200
11,49,65,900
109,46,51,3300
95,9,76,2400
55,36,69,3200
52,39,79,200
26,38,77,1600
49,6,75,1800
41,3,69,1200
70,11,54,500
105,4,77,800
22,3,71,1600
103,15,63,3400
52,35,77,3900
37,1,75,2500
82,30,66,1400
15,45,76,500
41,15,77,3700
82,1,68,2300
97,28,53,2000
20,46,68,200
58,41,53,1700
10,20,57,3000
16,8,63,2700
36,50,56,1600
93,47,60,3600
52,10,79,3400
95,12,64,100
48,48,63,2200
37,5,72,600
17,6,59,800
69,7,68,500
98,31,66,1100
108,48,69,100
73,7,63,3300
51,17,75,200
107,1,77,0
23,33,66,600
83,49,79,3100
96,11,65,2900
78,13,77,2500
15,40,77,3000
77,33,50,3000
46,18,53,2800
47,3,71,1000
46,13,53,1900
45,44,74,3000
38,19,52,3500
14,23,72,1300
96,32,73,1200
85,7,79,2300
79,14,68,2800
100,42,71,600
79,33,64,1000
77,15,65,0
90,8,66,300
29,32,80,2400
45,47,63,0
61,1,64,1800
108,26,66,2600
53,28,72,700
68,45,76,3400
109,50,80,3100
20,40,74,1300
20,4,78,3600
79,29,58,1400
63,4,74,3300
66,40,67,2400
14,3,55,3300
96,30,79,1500
83,18,74,2200
43,45,79,1800
18,21,51,3900
32,35,55,3100
97,8,77,3100
104,17,54,3900
44,26,77,1600
74,24,56,3600
45,39,55,4000
52,27,73,800
45,34,77,900
39,33,70,900
54,28,74,3500
36,48,69,3000
89,22,53,2800
43,18,64,2300
84,44,57,700
68,29,57,2600
67,51,71,3100
92,31,73,900
21,4,68,900
59,2,76,3800
50,29,51,1200
29,47,69,2900
20,35,79,1500
97,30,62,2500
41,40,65,3100
109,16,51,3300
25,7,66,3300
98,35,75,600
80,12,63,3200
94,30,77,400
19,40,55,600
44,25,54,4000
34,52,51,0
89,46,80,2800
51,12,51,1200
41,7,64,2300
80,13,75,600
